run_id,case_id,filename,pipeline,config_id,status,error,expected_pages,detected_pages,file_size_mb,detected_tables,chunk_pages,chunk_count,workers,markdown_chars,table_text_chars,convert_seconds,total_seconds,seconds_per_page,relative_markdown_recall,relative_markdown_hits,relative_markdown_total,relative_table_recall,relative_table_hits,relative_table_total,relative_table_count_ratio,relative_markdown_chars_ratio,relative_overall,do_table_structure,tableformer_mode,do_cell_matching,do_ocr,force_full_page_ocr,force_backend_text,images_scale,generate_page_images,batch_profile,ocr_batch_size,layout_batch_size,table_batch_size,settings_json
case13_standard_20260504_003_parallel,C13,case13.pdf,standard,std_no_table_structure,ok,,316,316,3.289,405,8,40,3,986707,1381392,144.891,144.915,0.459,0.7944,1986,2500,0.6416,3208,5000,1.0,0.7933,0.7614,False,accurate,True,True,False,False,1.0,False,default,4,4,4,"{""batch_profile"": ""default"", ""do_cell_matching"": true, ""do_ocr"": true, ""do_table_structure"": false, ""force_backend_text"": false, ""force_full_page_ocr"": false, ""generate_page_images"": false, ""images_scale"": 1.0, ""layout_batch_size"": 4, ""ocr_batch_size"": 4, ""table_batch_size"": 4, ""tableformer_mode"": ""accurate""}"
case13_standard_20260504_003_parallel,C13,case13.pdf,standard,std_baseline_accurate,ok,,316,316,3.289,397,8,40,3,1243861,1540744,1533.186,1533.208,4.852,1.0,2500,2500,1.0,5000,5000,1.0,1.0,1.0,True,accurate,True,True,False,False,1.0,False,default,4,4,4,"{""batch_profile"": ""default"", ""do_cell_matching"": true, ""do_ocr"": true, ""do_table_structure"": true, ""force_backend_text"": false, ""force_full_page_ocr"": false, ""generate_page_images"": false, ""images_scale"": 1.0, ""layout_batch_size"": 4, ""ocr_batch_size"": 4, ""table_batch_size"": 4, ""tableformer_mode"": ""accurate""}"
case13_standard_20260504_003_parallel,C13,case13.pdf,standard,std_table_fast,ok,,316,316,3.289,392,8,40,3,1342094,1573532,678.15,678.171,2.146,0.6636,1659,2500,0.9316,4658,5000,0.9874,1.0,0.8234,True,fast,True,True,False,False,1.0,False,default,4,4,4,"{""batch_profile"": ""default"", ""do_cell_matching"": true, ""do_ocr"": true, ""do_table_structure"": true, ""force_backend_text"": false, ""force_full_page_ocr"": false, ""generate_page_images"": false, ""images_scale"": 1.0, ""layout_batch_size"": 4, ""ocr_batch_size"": 4, ""table_batch_size"": 4, ""tableformer_mode"": ""fast""}"
case13_standard_20260504_003_parallel,C13,case13.pdf,standard,std_table_no_cell_match,ok,,316,316,3.289,397,8,40,3,1251866,1598231,1757.715,1757.737,5.562,0.7232,1808,2500,0.896,4480,5000,1.0,1.0,0.839,True,accurate,False,True,False,False,1.0,False,default,4,4,4,"{""batch_profile"": ""default"", ""do_cell_matching"": false, ""do_ocr"": true, ""do_table_structure"": true, ""force_backend_text"": false, ""force_full_page_ocr"": false, ""generate_page_images"": false, ""images_scale"": 1.0, ""layout_batch_size"": 4, ""ocr_batch_size"": 4, ""table_batch_size"": 4, ""tableformer_mode"": ""accurate""}"
case13_standard_20260504_003_parallel,C13,case13.pdf,standard,std_no_ocr,ok,,316,316,3.289,396,8,40,3,1246686,1545233,1558.18,1558.205,4.931,1.0,2500,2500,1.0,5000,5000,0.9975,1.0,0.9997,True,accurate,True,False,False,False,1.0,False,default,4,4,4,"{""batch_profile"": ""default"", ""do_cell_matching"": true, ""do_ocr"": false, ""do_table_structure"": true, ""force_backend_text"": false, ""force_full_page_ocr"": false, ""generate_page_images"": false, ""images_scale"": 1.0, ""layout_batch_size"": 4, ""ocr_batch_size"": 4, ""table_batch_size"": 4, ""tableformer_mode"": ""accurate""}"
case13_standard_20260504_003_parallel,C13,case13.pdf,standard,std_force_full_page_ocr,failed,A process in the process pool was terminated abruptly while the future was running or pending.,316,,3.289,0,8,,3,0,0,23.435,23.435,0.074,0.0,0,2500,0.0,0,5000,0.0,0.0,0.0,True,accurate,True,True,True,False,1.0,False,default,4,4,4,"{""batch_profile"": ""default"", ""do_cell_matching"": true, ""do_ocr"": true, ""do_table_structure"": true, ""force_backend_text"": false, ""force_full_page_ocr"": true, ""generate_page_images"": false, ""images_scale"": 1.0, ""layout_batch_size"": 4, ""ocr_batch_size"": 4, ""table_batch_size"": 4, ""tableformer_mode"": ""accurate""}"
case13_standard_20260504_003_parallel,C13,case13.pdf,standard,std_force_backend_text,ok,,316,316,3.289,396,8,40,3,1231559,1528819,1546.631,1546.651,4.894,0.952,2380,2500,0.9502,4751,5000,0.9975,0.9901,0.9597,True,accurate,True,True,False,True,1.0,False,default,4,4,4,"{""batch_profile"": ""default"", ""do_cell_matching"": true, ""do_ocr"": true, ""do_table_structure"": true, ""force_backend_text"": true, ""force_full_page_ocr"": false, ""generate_page_images"": false, ""images_scale"": 1.0, ""layout_batch_size"": 4, ""ocr_batch_size"": 4, ""table_batch_size"": 4, ""tableformer_mode"": ""accurate""}"
case13_standard_20260504_003_parallel,C13,case13.pdf,standard,std_page_images_scale_2,ok,,316,316,3.289,397,8,40,3,1243861,1540744,1552.963,1552.985,4.915,1.0,2500,2500,1.0,5000,5000,1.0,1.0,1.0,True,accurate,True,True,False,False,2.0,True,default,4,4,4,"{""batch_profile"": ""default"", ""do_cell_matching"": true, ""do_ocr"": true, ""do_table_structure"": true, ""force_backend_text"": false, ""force_full_page_ocr"": false, ""generate_page_images"": true, ""images_scale"": 2.0, ""layout_batch_size"": 4, ""ocr_batch_size"": 4, ""table_batch_size"": 4, ""tableformer_mode"": ""accurate""}"
case13_standard_20260504_003_parallel,C13,case13.pdf,standard,std_batch_small,ok,,316,316,3.289,405,8,40,3,1262990,1565013,1566.45,1566.47,4.957,1.0,2500,2500,1.0,5000,5000,1.0,1.0,1.0,True,accurate,True,True,False,False,1.0,False,small,1,1,1,"{""batch_profile"": ""small"", ""do_cell_matching"": true, ""do_ocr"": true, ""do_table_structure"": true, ""force_backend_text"": false, ""force_full_page_ocr"": false, ""generate_page_images"": false, ""images_scale"": 1.0, ""layout_batch_size"": 1, ""ocr_batch_size"": 1, ""table_batch_size"": 1, ""tableformer_mode"": ""accurate""}"
case13_standard_20260504_003_parallel,C13,case13.pdf,standard,std_batch_large,ok,,316,316,3.289,405,8,40,1,1262990,1565013,1863.078,1863.1,5.896,1.0,2500,2500,1.0,5000,5000,1.0,1.0,1.0,True,accurate,True,True,False,False,1.0,False,large,8,8,8,"{""batch_profile"": ""large"", ""do_cell_matching"": true, ""do_ocr"": true, ""do_table_structure"": true, ""force_backend_text"": false, ""force_full_page_ocr"": false, ""generate_page_images"": false, ""images_scale"": 1.0, ""layout_batch_size"": 8, ""ocr_batch_size"": 8, ""table_batch_size"": 8, ""tableformer_mode"": ""accurate""}"
