run_id,phase,pipeline,config_id,case_id,filename,status,expected_pages,detected_pages,expected_tables,detected_tables,text_anchor_recall,table_cell_recall,table_detection_ratio,table_detection_precision,table_detection_f1,case_confidence_score,low_confidence,overall_score,convert_seconds,total_seconds,seconds_per_page,markdown_chars,request_count,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,error
poc_all_20260504_001,full,standard,std_baseline_accurate,C01,case01_clean_financial_2p.pdf,ok,2,2,2,2,0.75,1.0,1.0,1.0,1.0,0.9344,False,0.9125,5.158,5.193,2.597,2830,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_baseline_accurate,C02,case02_dense_multisection_5p.pdf,ok,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,15.863,15.905,3.181,28643,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_baseline_accurate,C03,case03_mixed_orientation_9p.pdf,ok,9,9,9,7,0.5556,0.6895,0.7778,1.0,0.875,0.7073,True,0.6514,15.053,15.093,1.677,11829,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_baseline_accurate,C04,case04_long_register_16p.pdf,ok,16,16,16,16,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,51.262,51.445,3.215,37694,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_baseline_accurate,C05,case05_scanned_image_4p.pdf,ok,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,53.067,53.077,13.269,3678,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_baseline_accurate,C06,case6.pdf,ok,3,3,1,1,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,3.331,3.341,1.114,4104,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_baseline_accurate,C07,case07_japanese_multicolumn_vertical_3p.pdf,ok,3,3,3,6,0.9231,1.0,1.0,0.5,0.6667,0.6965,True,0.9731,5.911,5.923,1.974,4228,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_baseline_accurate,C08,case08_form_checkboxes_3p.pdf,ok,3,3,3,6,1.0,1.0,1.0,0.5,0.6667,0.7167,True,1.0,5.868,5.879,1.96,3859,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_baseline_accurate,C09,case09_low_quality_skewed_scan_3p.pdf,ok,3,3,3,3,0.5,0.981,1.0,1.0,1.0,0.8609,False,0.8145,34.163,34.17,11.39,2842,0,0,0,0,0.0,
poc_all_20260504_001,full,standard,std_baseline_accurate,C10,case10_irregular_nested_tables_4p.pdf,ok,4,4,8,8,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,9.364,9.391,2.348,9754,0,0,0,0,0.0,
