pipeline,config_id,runs,success,pages,mean_overall,mean_text_recall,mean_table_recall,mean_detection_f1,total_seconds,seconds_per_page,estimated_cost_usd
vlm,vlm_gpt_5_4_mini_html_s2_0_rnone_strict_preserve,5,5,21,0.9727,0.9231,0.9993,0.88,142.838,6.802,0.159044
vlm,vlm_gpt_5_4_mini_markdown_s2_0_rnone_table_first,5,5,21,0.971,0.9378,0.9869,0.8167,100.681,4.794,0.107643
vlm,vlm_gpt_5_2_markdown_s2_0_rnone_strict_preserve,5,5,21,0.9533,0.9778,0.9292,0.8467,189.253,9.012,0.386152
vlm,vlm_gpt_5_4_markdown_s2_0_rnone_strict_preserve,5,5,21,0.9413,0.9378,0.9329,0.8571,184.107,8.767,0.355608
vlm,vlm_gpt_5_4_mini_markdown_s2_0_rlow_strict_preserve,5,5,21,0.9192,0.9378,0.8927,0.8081,114.444,5.45,0.124283
vlm,vlm_gpt_5_4_mini_markdown_s2_5_rnone_strict_preserve,5,5,21,0.9191,0.9378,0.8924,0.8081,113.138,5.388,0.107019
vlm,vlm_gpt_5_4_mini_markdown_s2_0_rnone_strict_preserve,5,5,21,0.9145,0.9378,0.8841,0.7829,104.094,4.957,0.106845
vlm,vlm_gpt_5_4_mini_markdown_s2_0_rmedium_strict_preserve,5,5,21,0.9142,0.9378,0.8836,0.7778,201.504,9.595,0.209444
standard,std_no_table_structure,11,11,55,0.9132,0.8049,0.97,0.928,109.878,1.998,0.0
standard,std_batch_small,11,11,55,0.9132,0.8049,0.97,0.928,200.453,3.645,0.0
standard,std_baseline_accurate,11,11,55,0.9132,0.8049,0.97,0.928,203.332,3.697,0.0
standard,std_force_backend_text,11,11,55,0.9132,0.8049,0.97,0.928,203.824,3.706,0.0
standard,std_page_images_scale_2,11,11,55,0.9132,0.8049,0.97,0.928,204.223,3.713,0.0
standard,std_batch_large,11,11,55,0.9132,0.8049,0.97,0.928,204.383,3.716,0.0
standard,std_table_fast,11,11,55,0.909,0.7948,0.9689,0.928,147.687,2.685,0.0
standard,std_table_no_cell_match,11,11,55,0.9082,0.8015,0.9631,0.928,206.616,3.757,0.0
vlm,vlm_gpt_5_5_markdown_s2_0_rnone_strict_preserve,5,5,21,0.8776,0.9378,0.817,0.7905,177.982,8.475,1.305985
standard,std_force_full_page_ocr,11,11,55,0.8742,0.7505,0.9338,0.928,1194.316,21.715,0.0
vlm,vlm_gpt_5_4_mini_markdown_s1_0_rnone_strict_preserve,5,5,21,0.8473,0.9378,0.762,0.8444,79.369,3.779,0.072478
standard,std_no_ocr,11,11,55,0.7664,0.6685,0.79,0.928,128.081,2.329,0.0
