tag,pipeline,runs,pages,mean_overall,seconds_per_page
blank-fields,standard,10,30,0.9922,3.183
charts,standard,20,120,0.6712,3.271
charts,vlm,10,90,0.923,7.825
checkbox,standard,10,30,0.9922,3.183
clean,standard,10,20,0.9037,3.868
clean,vlm,10,20,0.9856,6.611
code,standard,10,30,0.6937,2.339
cross-page,standard,10,160,0.9981,5.217
dense,standard,20,210,0.9979,5.338
financial-disclosure,standard,10,30,0.9747,3.127
financial-disclosure,vlm,10,30,0.724,7.879
form,standard,10,30,0.9922,3.183
formula,standard,10,30,0.6937,2.339
image-only,standard,10,40,0.91,11.793
image-only,vlm,10,40,0.9913,4.459
irregular,standard,10,40,1.0,3.6
japanese,standard,20,60,0.9739,3.304
japanese,vlm,10,30,0.724,7.879
long,standard,10,160,0.9981,5.217
low-quality,standard,10,30,0.7389,10.085
low-quality,vlm,10,30,0.9911,5.208
merged-header,standard,20,90,0.9989,4.779
mixed-orientation,standard,10,90,0.6486,3.582
mixed-orientation,vlm,10,90,0.923,7.825
multicolumn,standard,10,30,0.9731,3.481
nested-tables,standard,10,40,1.0,3.6
ocr,standard,20,70,0.8244,11.061
ocr,vlm,20,70,0.9912,4.78
real,standard,10,30,0.9747,3.127
real,vlm,10,30,0.724,7.879
rotated,standard,10,50,0.9977,5.722
scanned,standard,20,70,0.8244,11.061
scanned,vlm,20,70,0.9912,4.78
short,standard,10,20,0.9037,3.868
short,vlm,10,20,0.9856,6.611
sidebars,standard,10,90,0.6486,3.582
sidebars,vlm,10,90,0.923,7.825
skewed,standard,10,30,0.7389,10.085
skewed,vlm,10,30,0.9911,5.208
tables,standard,20,60,0.8342,2.733
tables,vlm,10,30,0.724,7.879
vector,standard,10,20,0.9037,3.868
vector,vlm,10,20,0.9856,6.611
vertical-label,standard,10,30,0.9731,3.481
