complex_table_score,elapsed_seconds,embedded_visual_region_count,embedded_visual_regions,extra_actions,height,image_area_ratio,image_read_risk_score,line_count,mode,page,reasons,rect_count,table_score,text_chars,text_density,text_quality_score,visual_reference_count,width
0.0563,0.0034,0,[],[],595.28,0.484,0.402,0,IMAGE_RECONCILE,1,"weak_text_layer,image_page",16,0.3087,47,0.000188,0.65,0,419.53
0.0,0.0001,0,[],[],595.28,0.0,0.35,0,IMAGE_RECONCILE,2,"weak_text_layer,fallback_reconcile",0,0.0,0,0.0,0.0,0,419.53
0.0,0.0019,0,[],[],595.28,0.0,0.1175,0,IMAGE_RECONCILE,3,"weak_text_layer,fallback_reconcile",0,0.15,25,0.0001,0.75,0,419.53
0.0,0.0001,0,[],[],595.28,0.0,0.35,0,IMAGE_RECONCILE,4,"weak_text_layer,fallback_reconcile",0,0.0,0,0.0,0.0,0,419.53
0.3646,0.0063,0,[],[],595.28,0.0,0.1038,0,TEXT_TABLE_FAST,5,"good_text_layer,simple_table_signal",0,0.519,409,0.001638,1.0,0,419.53
0.0,0.0001,0,[],[],595.28,0.0,0.35,0,IMAGE_RECONCILE,6,"weak_text_layer,fallback_reconcile",0,0.0,0,0.0,0.0,0,419.53
0.5031,0.0058,0,[],[],595.28,0.0,0.1243,0,TEXT_TABLE_FAST,7,"good_text_layer,simple_table_signal",1,0.6213,621,0.002487,1.0,0,419.53
0.4396,0.0027,0,[],[],595.28,0.0,0.1436,12,TEXT_TABLE_FAST,8,"good_text_layer,simple_table_signal",12,0.7178,268,0.001073,1.0,0,419.53
0.3854,0.0044,0,[],[],595.28,0.0,0.129,0,TEXT_TABLE_FAST,9,"good_text_layer,simple_table_signal",0,0.5846,545,0.002182,0.9655,0,419.53
0.5062,0.0125,0,[],[],595.28,0.0,0.2135,1,IMAGE_RECONCILE,10,"weak_text_layer,fallback_reconcile",1,0.6675,2690,0.010771,0.7713,0,419.53
0.5062,0.0185,0,[],[],595.28,0.0,0.159,1,TEXT_TABLE_FAST,11,"good_text_layer,simple_table_signal",1,0.6675,3253,0.013026,0.9271,0,419.53
0.5188,0.0127,0,[],[],595.28,0.0,0.2173,1,IMAGE_RECONCILE,12,"weak_text_layer,fallback_reconcile",5,0.7025,2442,0.009778,0.7806,0,419.53
0.5125,0.0199,0,[],[],595.28,0.0,0.188,1,TEXT_TABLE_FAST,13,"good_text_layer,simple_table_signal",3,0.685,3390,0.013574,0.8542,0,419.53
0.5094,0.0114,0,[],[],595.28,0.0,0.2286,1,IMAGE_RECONCILE,14,"weak_text_layer,fallback_reconcile",2,0.6763,2374,0.009506,0.7332,0,419.53
0.5062,0.0173,0,[],[],595.28,0.0,0.1758,1,TEXT_TABLE_FAST,15,"good_text_layer,simple_table_signal",1,0.6675,3175,0.012713,0.8791,0,419.53
0.5062,0.0162,0,[],[],595.28,0.0,0.2342,1,IMAGE_RECONCILE,16,"weak_text_layer,fallback_reconcile",1,0.6675,2355,0.00943,0.7122,0,419.53
0.5156,0.0148,0,[],[],595.28,0.0,0.1773,1,TEXT_TABLE_FAST,17,"good_text_layer,simple_table_signal",4,0.6799,2634,0.010547,0.8819,0,419.53
0.0,0.0002,0,[],[],595.28,0.0,0.35,0,IMAGE_RECONCILE,18,"weak_text_layer,fallback_reconcile",0,0.0,0,0.0,0.0,0,419.53
0.0052,0.0008,0,[],[],595.28,0.0,0.0025,0,IMAGE_RECONCILE,19,"weak_text_layer,fallback_reconcile",0,0.0125,11,4.4e-05,1.0,0,419.53
0.6354,0.0049,0,[],[],595.28,0.0628,0.2691,15,TEXT_TABLE_ACCURATE,20,"good_text_layer,complex_table_signal",65,0.9625,557,0.00223,0.8618,0,419.53
0.8625,0.0079,0,[],[],595.28,0.0,0.282,36,IMAGE_RECONCILE,21,"weak_text_layer,fallback_reconcile",142,1.0,1160,0.004645,0.7656,0,419.53
0.8125,0.0056,0,[],[],595.28,0.0,0.2494,20,TEXT_TABLE_ACCURATE,22,"good_text_layer,complex_table_signal",104,1.0,812,0.003251,0.859,0,419.53
0.8938,0.008,0,[],[],595.28,0.0,0.2673,46,TEXT_TABLE_ACCURATE,23,"good_text_layer,complex_table_signal",98,1.0,1372,0.005494,0.8078,0,419.53
0.874,0.0065,0,[],[],595.28,0.0,0.2463,43,TEXT_TABLE_ACCURATE,24,"good_text_layer,complex_table_signal",126,1.0,982,0.003932,0.8677,0,419.53
0.875,0.0154,0,[],[],595.28,0.0,0.2644,45,TEXT_TABLE_ACCURATE,25,"good_text_layer,complex_table_signal",75,1.0,1967,0.007876,0.8161,0,419.53
0.9062,0.0069,0,[],[],595.28,0.0,0.2802,50,IMAGE_RECONCILE,26,"weak_text_layer,fallback_reconcile",86,1.0,1011,0.004048,0.771,0,419.53
0.8812,0.0119,0,[],[],595.28,0.0,0.3037,42,IMAGE_RECONCILE,27,"weak_text_layer,fallback_reconcile",80,1.0,1685,0.006747,0.7038,0,419.53
0.8594,0.0058,0,[],[],595.28,0.0,0.2432,35,TEXT_TABLE_ACCURATE,28,"good_text_layer,complex_table_signal",104,1.0,965,0.003864,0.8767,0,419.53
