code,evidence,level,message,mode,page,score,suggested_action,target
COORDINATE_TABLE_FALLBACK_TO_DOCLING,"{""routing_source_mode"": ""TEXT_TABLE_FAST"", ""coordinate_quality"": {""ok"": false, ""reasons"": [""coordinate_status_no_grid_bbox"", ""too_few_rows"", ""too_few_columns""], ""rows"": 0, ""columns"": 0, ""span_count"": 0, ""span_coverage"": 0.0, ""spans_per_row"": 0.0, ""span_per_row_limit"": 12.0, ""max_cell_chars"": 0, ""max_to_median_cell_char_ratio"": 0.0, ""max_long_text_row_ratio"": 0.0}, ""coordinate_diagnostics"": {""method"": ""pdf_coordinate_grid"", ""page"": 1, ""status"": ""no_grid_bbox"", ""horizontal_line_count"": 4, ""vertical_line_count"": 1, ""non_table_text_line_count"": 53, ""non_table_text_chars"": 3094}}",info,"Coordinate table reconstruction was attempted but the evidence was weak, so local Docling table extraction was used.",TEXT_TABLE_FAST,1,0.6,"If this page is slow or inaccurate, review coordinate diagnostics or enable table VLM fallback for targeted pages.",
COORDINATE_TABLE_FALLBACK_TO_DOCLING,"{""routing_source_mode"": ""TEXT_TABLE_FAST"", ""coordinate_quality"": {""ok"": false, ""reasons"": [""coordinate_status_no_grid_bbox"", ""too_few_rows"", ""too_few_columns""], ""rows"": 0, ""columns"": 0, ""span_count"": 0, ""span_coverage"": 0.0, ""spans_per_row"": 0.0, ""span_per_row_limit"": 12.0, ""max_cell_chars"": 0, ""max_to_median_cell_char_ratio"": 0.0, ""max_long_text_row_ratio"": 0.0}, ""coordinate_diagnostics"": {""method"": ""pdf_coordinate_grid"", ""page"": 2, ""status"": ""no_grid_bbox"", ""horizontal_line_count"": 6, ""vertical_line_count"": 2, ""non_table_text_line_count"": 53, ""non_table_text_chars"": 3110}}",info,"Coordinate table reconstruction was attempted but the evidence was weak, so local Docling table extraction was used.",TEXT_TABLE_FAST,2,0.6,"If this page is slow or inaccurate, review coordinate diagnostics or enable table VLM fallback for targeted pages.",
COORDINATE_TABLE_FALLBACK_TO_DOCLING,"{""routing_source_mode"": ""TEXT_TABLE_FAST"", ""coordinate_quality"": {""ok"": false, ""reasons"": [""coordinate_status_no_grid_bbox"", ""too_few_rows"", ""too_few_columns""], ""rows"": 0, ""columns"": 0, ""span_count"": 0, ""span_coverage"": 0.0, ""spans_per_row"": 0.0, ""span_per_row_limit"": 12.0, ""max_cell_chars"": 0, ""max_to_median_cell_char_ratio"": 0.0, ""max_long_text_row_ratio"": 0.0}, ""coordinate_diagnostics"": {""method"": ""pdf_coordinate_grid"", ""page"": 3, ""status"": ""no_grid_bbox"", ""horizontal_line_count"": 6, ""vertical_line_count"": 2, ""non_table_text_line_count"": 53, ""non_table_text_chars"": 3801}}",info,"Coordinate table reconstruction was attempted but the evidence was weak, so local Docling table extraction was used.",TEXT_TABLE_FAST,3,0.6,"If this page is slow or inaccurate, review coordinate diagnostics or enable table VLM fallback for targeted pages.",
COORDINATE_TABLE_FALLBACK_TO_DOCLING,"{""routing_source_mode"": ""TEXT_TABLE_FAST"", ""coordinate_quality"": {""ok"": false, ""reasons"": [""coordinate_status_no_grid_bbox"", ""too_few_rows"", ""too_few_columns""], ""rows"": 0, ""columns"": 0, ""span_count"": 0, ""span_coverage"": 0.0, ""spans_per_row"": 0.0, ""span_per_row_limit"": 12.0, ""max_cell_chars"": 0, ""max_to_median_cell_char_ratio"": 0.0, ""max_long_text_row_ratio"": 0.0}, ""coordinate_diagnostics"": {""method"": ""pdf_coordinate_grid"", ""page"": 4, ""status"": ""no_grid_bbox"", ""horizontal_line_count"": 8, ""vertical_line_count"": 18, ""non_table_text_line_count"": 53, ""non_table_text_chars"": 2342}}",info,"Coordinate table reconstruction was attempted but the evidence was weak, so local Docling table extraction was used.",TEXT_TABLE_FAST,4,0.6,"If this page is slow or inaccurate, review coordinate diagnostics or enable table VLM fallback for targeted pages.",
ROW_HEADER_SPAN_MISSED,"{""repaired_cell_count"": 4, ""repaired_cells"": [{""row"": 10, ""column"": 1, ""text"": ""年"", ""source_bbox"": [54.3, 248.61, 61.4, 255.52], ""covered_rows"": [10, 11, 12, 13, 14, 15, 16, 17, 18, 19]}, {""row"": 20, ""column"": 1, ""text"": ""年"", ""source_bbox"": [54.3, 337.21, 61.4, 344.12], ""covered_rows"": [20, 21, 22, 23, 24]}, {""row"": 25, ""column"": 1, ""text"": ""元"", ""source_bbox"": [42.57, 337.63, 49.34, 343.86], ""covered_rows"": [25, 26, 27, 28]}, {""row"": 29, ""column"": 1, ""text"": ""年"", ""source_bbox"": [54.3, 412.24, 61.4, 419.15], ""covered_rows"": [29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]}], ""candidate_columns"": [1], ""table_index_in_segment"": 1}",warning,PDFテキストレイヤー上の行見出しSPANがDoclingの構造化テーブルから欠落していたため、座標ベースで補完しました。,TEXT_TABLE_FAST,4,0.78,補完セルを確認してください。補完できない未使用テキストが残る場合は対象ページだけVLM突合を検討してください。,
TABLE_TEXT_COVERAGE_LOSS,"{""unrepaired_spans"": [{""column"": 0, ""row"": 1, ""text"": ""年"", ""existing"": ""大正""}, {""column"": 0, ""row"": 3, ""text"": ""年"", ""existing"": ""昭和""}], ""table_index_in_segment"": 1}",warning,表領域内のPDFテキストの一部を構造化テーブルへ安全に割り当てられませんでした。,TEXT_TABLE_FAST,4,0.72,該当テーブルのraw出力とPDFを確認してください。必要なら対象ページだけVLM突合を実行してください。,
COORDINATE_TABLE_FALLBACK_TO_DOCLING,"{""routing_source_mode"": ""TEXT_TABLE_FAST"", ""coordinate_quality"": {""ok"": false, ""reasons"": [""coordinate_status_no_grid_bbox"", ""too_few_rows"", ""too_few_columns""], ""rows"": 0, ""columns"": 0, ""span_count"": 0, ""span_coverage"": 0.0, ""spans_per_row"": 0.0, ""span_per_row_limit"": 12.0, ""max_cell_chars"": 0, ""max_to_median_cell_char_ratio"": 0.0, ""max_long_text_row_ratio"": 0.0}, ""coordinate_diagnostics"": {""method"": ""pdf_coordinate_grid"", ""page"": 5, ""status"": ""no_grid_bbox"", ""horizontal_line_count"": 4, ""vertical_line_count"": 8, ""non_table_text_line_count"": 52, ""non_table_text_chars"": 2324}}",info,"Coordinate table reconstruction was attempted but the evidence was weak, so local Docling table extraction was used.",TEXT_TABLE_FAST,5,0.6,"If this page is slow or inaccurate, review coordinate diagnostics or enable table VLM fallback for targeted pages.",
COORDINATE_TABLE_FALLBACK_TO_DOCLING,"{""routing_source_mode"": ""TEXT_TABLE_FAST"", ""coordinate_quality"": {""ok"": false, ""reasons"": [""low_span_coverage"", ""row_collapse_risk"", ""giant_cell_risk"", ""cell_size_skew"", ""prose_row_risk""], ""rows"": 3, ""columns"": 7, ""span_count"": 463, ""span_coverage"": 0.7775, ""spans_per_row"": 154.3333, ""span_per_row_limit"": 21.0, ""max_cell_chars"": 297, ""max_to_median_cell_char_ratio"": 13.814, ""max_long_text_row_ratio"": 1.0}, ""coordinate_diagnostics"": {""method"": ""pdf_coordinate_grid"", ""page"": 6, ""status"": ""ok"", ""bbox"": [23.81, 47.77, 382.33, 519.26], ""table_area_ratio"": 0.6769, ""x_line_count"": 8, ""y_line_count"": 5, ""raw_rows"": 4, ""raw_columns"": 7, ""trimmed_rows"": 3, ""trimmed_columns"": 7, ""span_count"": 463, ""assigned_span_count"": 360, ""span_coverage"": 0.7775, ""spans_per_trimmed_row"": 154.3333, ""max_cell_chars"": 297, ""median_cell_chars"": 21.5, ""max_to_median_cell_char_ratio"": 13.814, ""max_long_text_row_ratio"": 1.0, ""header_mode"": ""none"", ""header_inference_enabled"": false, ""header_row_count"": 0, ""measure_start_column"": null, ""filled_row_header_count"": 0, ""pdf_grid_rows_preserved"": true, ""headers"": [""col_001"", ""col_002"", ""col_003"", ""col_004"", ""col_005"", ""col_006"", ""col_007""], ""non_table_text_line_count"": 7, ""non_table_text_chars"": 220}}",info,"Coordinate table reconstruction was attempted but the evidence was weak, so local Docling table extraction was used.",TEXT_TABLE_FAST,6,0.6,"If this page is slow or inaccurate, review coordinate diagnostics or enable table VLM fallback for targeted pages.",
COORDINATE_TABLE_FALLBACK_TO_DOCLING,"{""routing_source_mode"": ""TEXT_TABLE_FAST"", ""coordinate_quality"": {""ok"": false, ""reasons"": [""low_span_coverage"", ""row_collapse_risk"", ""giant_cell_risk"", ""prose_row_risk""], ""rows"": 2, ""columns"": 6, ""span_count"": 419, ""span_coverage"": 0.7494, ""spans_per_row"": 209.5, ""span_per_row_limit"": 18.0, ""max_cell_chars"": 383, ""max_to_median_cell_char_ratio"": 3.435, ""max_long_text_row_ratio"": 1.0}, ""coordinate_diagnostics"": {""method"": ""pdf_coordinate_grid"", ""page"": 7, ""status"": ""ok"", ""bbox"": [37.06, 48.32, 396.61, 551.98], ""table_area_ratio"": 0.7251, ""x_line_count"": 7, ""y_line_count"": 3, ""raw_rows"": 2, ""raw_columns"": 6, ""trimmed_rows"": 2, ""trimmed_columns"": 6, ""span_count"": 419, ""assigned_span_count"": 314, ""span_coverage"": 0.7494, ""spans_per_trimmed_row"": 209.5, ""max_cell_chars"": 383, ""median_cell_chars"": 111.5, ""max_to_median_cell_char_ratio"": 3.435, ""max_long_text_row_ratio"": 1.0, ""header_mode"": ""none"", ""header_inference_enabled"": false, ""header_row_count"": 0, ""measure_start_column"": null, ""filled_row_header_count"": 0, ""pdf_grid_rows_preserved"": true, ""headers"": [""col_001"", ""col_002"", ""col_003"", ""col_004"", ""col_005"", ""col_006""], ""non_table_text_line_count"": 3, ""non_table_text_chars"": 29}}",info,"Coordinate table reconstruction was attempted but the evidence was weak, so local Docling table extraction was used.",TEXT_TABLE_FAST,7,0.6,"If this page is slow or inaccurate, review coordinate diagnostics or enable table VLM fallback for targeted pages.",
COORDINATE_TABLE_FALLBACK_TO_DOCLING,"{""routing_source_mode"": ""TEXT_TABLE_ACCURATE"", ""coordinate_quality"": {""ok"": false, ""reasons"": [""low_span_coverage"", ""row_collapse_risk"", ""giant_cell_risk"", ""prose_row_risk""], ""rows"": 2, ""columns"": 6, ""span_count"": 433, ""span_coverage"": 0.7529, ""spans_per_row"": 216.5, ""span_per_row_limit"": 18.0, ""max_cell_chars"": 418, ""max_to_median_cell_char_ratio"": 3.7658, ""max_long_text_row_ratio"": 1.0}, ""coordinate_diagnostics"": {""method"": ""pdf_coordinate_grid"", ""page"": 8, ""status"": ""ok"", ""bbox"": [22.78, 47.41, 382.82, 550.36], ""table_area_ratio"": 0.7251, ""x_line_count"": 7, ""y_line_count"": 3, ""raw_rows"": 2, ""raw_columns"": 6, ""trimmed_rows"": 2, ""trimmed_columns"": 6, ""span_count"": 433, ""assigned_span_count"": 326, ""span_coverage"": 0.7529, ""spans_per_trimmed_row"": 216.5, ""max_cell_chars"": 418, ""median_cell_chars"": 111.0, ""max_to_median_cell_char_ratio"": 3.7658, ""max_long_text_row_ratio"": 1.0, ""header_mode"": ""none"", ""header_inference_enabled"": false, ""header_row_count"": 0, ""measure_start_column"": null, ""filled_row_header_count"": 0, ""pdf_grid_rows_preserved"": true, ""headers"": [""col_001"", ""col_002"", ""col_003"", ""col_004"", ""col_005"", ""col_006""], ""non_table_text_line_count"": 2, ""non_table_text_chars"": 15}}",info,"Coordinate table reconstruction was attempted but the evidence was weak, so local Docling table extraction was used.",TEXT_TABLE_ACCURATE,8,0.6,"If this page is slow or inaccurate, review coordinate diagnostics or enable table VLM fallback for targeted pages.",
