row,column,expected,actual,ok
1,分類,市場,市場,True
1,項目,USD/JPY 月中平均,USD/JPY 月中平均,True
1,単位,JPY,JPY,True
1,4月,152.19,152.19,True
1,5月,160.57,160.57,True
1,6月,145.88,145.88,True
1,7月,149.89,149.89,True
1,8月,150.31,150.31,True
1,9月,146.76,146.76,True
1,平均,150.93,150.93,True
1,標準偏差,4.81,4.81,True
2,分類,市場,市場,True
2,項目,EUR/JPY 月中平均,EUR/JPY 月中平均,True
2,単位,JPY,JPY,True
2,4月,166.63,166.63,True
2,5月,160.63,160.63,True
2,6月,166.20,166.20,True
2,7月,172.40,172.40,True
2,8月,163.95,163.95,True
2,9月,167.46,167.46,True
2,平均,166.21,166.21,True
2,標準偏差,3.57,3.57,True
3,分類,市場,市場,True
3,項目,CNY/JPY 月中平均,CNY/JPY 月中平均,True
3,単位,JPY,JPY,True
3,4月,19.46,19.46,True
3,5月,20.11,20.11,True
3,6月,19.91,19.91,True
3,7月,20.72,20.72,True
3,8月,21.24,21.24,True
3,9月,22.07,22.07,True
3,平均,20.58,20.58,True
3,標準偏差,0.88,0.88,True
4,分類,商品,商品,True
4,項目,WTI 原油先物,WTI 原油先物,True
4,単位,USD/bbl,USD…,False
4,4月,85.5,85.5,True
4,5月,86.9,86.9,True
4,6月,83.9,83.9,True
4,7月,85.2,85.2,True
4,8月,86.4,86.4,True
4,9月,87.3,87.3,True
4,平均,85.9,85.9,True
4,標準偏差,1.1,1.1,True
5,分類,商品,商品,True
5,項目,LME 銅 3M 先物,LME 銅 3M 先物,True
5,単位,USD/MT,USD…,False
5,4月,"8,558","8,558",True
5,5月,"9,047","9,047",True
5,6月,"10,025","10,025",True
5,7月,"10,343","10,343",True
5,8月,"9,202","9,202",True
5,9月,"8,863","8,863",True
5,平均,"9,340","9,340",True
5,標準偏差,635,635,True
6,分類,株式,株式,True
6,項目,日経平均株価 月末,日経平均株価 月末,True
6,単位,JPY,JPY,True
6,4月,"34,289","34,289",True
6,5月,"38,916","38,916",True
6,6月,"33,626","33,626",True
6,7月,"39,669","39,669",True
6,8月,"41,746","41,746",True
6,9月,"33,826","33,826",True
6,平均,"37,012","37,012",True
6,標準偏差,"3,218","3,218",True
7,分類,株式,株式,True
7,項目,TOPIX 月末,TOPIX 月末,True
7,単位,pt,pt,True
7,4月,"2,665","2,665",True
7,5月,"2,588","2,588",True
7,6月,"2,627","2,627",True
7,7月,"2,479","2,479",True
7,8月,"2,556","2,556",True
7,9月,"2,562","2,562",True
7,平均,"2,579","2,579",True
7,標準偏差,59,59,True
8,分類,金利,金利,True
8,項目,10年国債利回り,10年国債利回り,True
8,単位,%,%,True
8,4月,1.453,1.453,True
8,5月,1.177,1.177,True
8,6月,1.407,1.407,True
8,7月,0.824,0.824,True
8,8月,1.304,1.304,True
8,9月,0.740,0.740,True
8,平均,1.151,1.151,True
8,標準偏差,0.276,0.276,True
9,分類,業績,業績,True
9,項目,受注高,受注高,True
9,単位,百万円,百…,False
9,4月,"4,286","4,286",True
9,5月,"5,551","5,551",True
9,6月,"5,484","5,484",True
9,7月,"6,125","6,125",True
9,8月,"5,450","5,450",True
9,9月,"4,754","4,754",True
9,平均,"5,275","5,275",True
9,標準偏差,595,595,True
10,分類,業績,業績,True
10,項目,受注残高,受注残高,True
10,単位,百万円,百…,False
10,4月,"19,074","19,074",True
10,5月,"18,071","18,071",True
10,6月,"16,665","16,665",True
10,7月,"20,069","20,069",True
10,8月,"19,559","19,559",True
10,9月,"19,162","19,162",True
10,平均,"18,767","18,767",True
10,標準偏差,"1,116","1,116",True
11,分類,運転資本,運転…,False
11,項目,在庫回転日数,在庫回転日数,True
11,単位,日,日,True
11,4月,49.3,49.3,True
11,5月,46.6,46.6,True
11,6月,69.5,69.5,True
11,7月,41.6,41.6,True
11,8月,46.1,46.1,True
11,9月,68.4,68.4,True
11,平均,53.6,53.6,True
11,標準偏差,11.1,11.1,True
12,分類,収益性,収益性,True
12,項目,売上総利益率,売上総利益率,True
12,単位,%,%,True
12,4月,30.37,30.37,True
12,5月,30.35,30.35,True
12,6月,27.03,27.03,True
12,7月,25.84,25.84,True
12,8月,28.48,28.48,True
12,9月,28.02,28.02,True
12,平均,28.35,28.35,True
12,標準偏差,1.65,1.65,True
13,分類,収益性,収益性,True
13,項目,営業利益率,営業利益率,True
13,単位,%,%,True
13,4月,6.78,6.78,True
13,5月,9.20,9.20,True
13,6月,7.38,7.38,True
13,7月,9.35,9.35,True
13,8月,10.01,10.01,True
13,9月,8.12,8.12,True
13,平均,8.47,8.47,True
13,標準偏差,1.14,1.14,True
14,分類,人事,人事,True
14,項目,従業員数,従業員数,True
14,単位,人,人,True
14,4月,"2,498","2,498",True
14,5月,"2,522","2,522",True
14,6月,"2,501","2,501",True
14,7月,"2,502","2,502",True
14,8月,"2,475","2,475",True
14,9月,"2,492","2,492",True
14,平均,"2,498","2,498",True
14,標準偏差,14,14,True
15,分類,人事,人事,True
15,項目,月次離職率,月次離職率,True
15,単位,%,%,True
15,4月,1.20,1.20,True
15,5月,1.17,1.17,True
15,6月,1.50,1.50,True
15,7月,1.00,1.00,True
15,8月,1.17,1.17,True
15,9月,1.95,1.95,True
15,平均,1.33,1.33,True
15,標準偏差,0.31,0.31,True
